Collection Date,Trap,Anopheles sp,Cx nigripapus,Ae inf / atl,Total Mosquitoes,Temperature,Relative Humidity,Gust,UV Index,Solar radiation,Rainfall,log_Anopheles_sp,log_Cx_nigripapus,log_Ae_inf_/_atl,log_Total_Mosquitoes
2021-04-01,TOWNCENTER,10,12.0,0.0,31.0,63.0,64.0,21.0,1.4,149.0,0.0,2.3978952727983707,2.5649493574615367,0.0,3.4657359027997265
2021-04-01,U. WOOD,14,51.0,2.0,79.0,63.0,64.0,21.0,1.4,149.0,0.0,2.70805020110221,3.951243718581427,1.0986122886681096,4.382026634673881
2021-04-01,WHITEVIEW,0,21.0,1.0,27.0,63.0,64.0,21.0,1.4,149.0,0.0,0.0,3.0910424533583156,0.6931471805599453,3.332204510175204
2021-04-01,WHITEVIEW,0,0.0,0.0,16.0,63.0,64.0,21.0,1.4,149.0,0.0,0.0,0.0,0.0,2.833213344056216
2021-04-01,WS-21,22,21.0,0.0,104.0,63.0,64.0,21.0,1.4,149.0,0.0,3.1354942159291497,3.0910424533583156,0.0,4.653960350157523
2021-04-01,WS58/US 1,220,0.0,0.0,404.0,63.0,64.0,21.0,1.4,149.0,0.0,5.3981627015177525,0.0,0.0,6.003887067106539
2021-04-06,A6,2,3.0,1.0,6.0,63.5,69.0,14.3,2.6,284.0,0.0,1.0986122886681096,1.3862943611198906,0.6931471805599453,1.9459101490553132
2021-04-06,B. WICK,3,4.0,2.0,17.0,63.5,69.0,14.3,2.6,284.0,0.0,1.3862943611198906,1.6094379124341003,1.0986122886681096,2.8903717578961645
2021-04-06,CHRIS/COV,0,8.0,0.0,13.0,63.5,69.0,14.3,2.6,284.0,0.0,0.0,2.197224577336219,0.0,2.6390573296152584
2021-04-06,Cochise,3,11.0,8.0,24.0,63.5,69.0,14.3,2.6,284.0,0.0,1.3862943611198906,2.4849066497880004,2.197224577336219,3.2188758248682006
2021-04-06,College,8,0.0,0.0,35.0,63.5,69.0,14.3,2.6,284.0,0.0,2.197224577336219,0.0,0.0,3.58351893845611
2021-04-06,G. HAVEN,4,12.0,0.0,21.0,63.5,69.0,14.3,2.6,284.0,0.0,1.6094379124341003,2.5649493574615367,0.0,3.0910424533583156
2021-04-06,MATANZAS,8,11.0,2.0,21.0,63.5,69.0,14.3,2.6,284.0,0.0,2.197224577336219,2.4849066497880004,1.0986122886681096,3.0910424533583156
2021-04-06,OLD A1A,0,3.0,0.0,3.0,63.5,69.0,14.3,2.6,284.0,0.0,0.0,1.3862943611198906,0.0,1.3862943611198906
2021-04-06,PARISH PL.,11,7.0,0.0,21.0,63.5,69.0,14.3,2.6,284.0,0.0,2.4849066497880004,2.0794415416798357,0.0,3.0910424533583156
2021-04-06,QUAIL,3,4.0,1.0,19.0,63.5,69.0,14.3,2.6,284.0,0.0,1.3862943611198906,1.6094379124341003,0.6931471805599453,2.995732273553991
2021-04-06,R. PALM,0,4.0,0.0,11.0,63.5,69.0,14.3,2.6,284.0,0.0,0.0,1.6094379124341003,0.0,2.4849066497880004
2021-04-06,RIDDLE,10,6.0,9.0,25.0,63.5,69.0,14.3,2.6,284.0,0.0,2.3978952727983707,1.9459101490553132,2.3025850929940455,3.2580965380214817
2021-04-06,S.Hollow,0,0.0,0.0,15.5,63.5,69.0,14.3,2.6,284.0,0.0,0.0,0.0,0.0,2.803360380906535
2021-04-06,TOWNCENTER,0,0.0,0.0,6.0,63.5,69.0,14.3,2.6,284.0,0.0,0.0,0.0,0.0,1.9459101490553132
2021-04-06,U. WOOD,14,2.0,0.0,16.0,63.5,69.0,14.3,2.6,284.0,0.0,2.70805020110221,1.0986122886681096,0.0,2.833213344056216
2021-04-06,WHITEVIEW,0,2.0,0.0,2.0,63.5,69.0,14.3,2.6,284.0,0.0,0.0,1.0986122886681096,0.0,1.0986122886681096
2021-04-06,WS-21,9,5.0,0.0,95.0,63.5,69.0,14.3,2.6,284.0,0.0,2.3025850929940455,1.791759469228055,0.0,4.564348191467836
2021-04-06,WS58/US 1,144,0.0,0.0,188.0,63.5,69.0,14.3,2.6,284.0,0.0,4.976733742420574,0.0,0.0,5.241747015059643
2021-04-07,A6,17,19.0,1.0,43.0,65.5,69.0,14.6,2.5,279.0,0.0,2.8903717578961645,2.995732273553991,0.6931471805599453,3.784189633918261
